
Conexant HD Audio;
CutePDF Writer 2.8;
Bitdefender Endpoint Security Tools;20210615;
Microsoft Visual Studio 2010 Tools for Office Runtime (x64);
Microsoft Visual Studio 2010 Tools för Office Runtime (x64) Language Pack - SVE;
Microsoft 365 Apps for Enterprise - de-de;
Microsoft 365 Apps for enterprise - en-us;
Microsoft 365 -sovellukset suuryrityksille - fi-fi;
Microsoft 365-appar för företag - sv-se;
XAMPP;20210705;7.4;
Microsoft Visual C++ 2005 Redistributable (x64);20210615;8.0;
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - SVE;20210617;10.0;
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;20210617;10.0;
7-Zip 18.05 (x64 edition);20210615;18.5;
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030;20210617;11.0;
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660;20210615;12.0;
Microsoft Policy Platform;20210615;68.1;
Bonjour;20210617;3.0;
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.24.28127;20210615;14.24;
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.24.28127;20210615;14.24;
Microsoft Silverlight;20210504;5.1;
Office 16 Click-to-Run Licensing Component;20210615;16.0;
Office 16 Click-to-Run Extensibility Component 64-bit Registration;20210615;16.0;
netclean-proactive;20210615;20.2;
Microsoft Visual Studio 2010 Tools for Office Runtime (x64);20210617;10.0;
Microsoft Update Health Tools;20210504;2.77;
Microsoft Visual C++ 2005 Redistributable (x64);20210615;8.0;
MDOP MBAM;20210615;2.5;
Microsoft SQL Server 2008 Native Client;20210615;10.1;
Classic Shell;20210705;4.3;
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660;20210615;12.0;
Configuration Manager Client;20210615;5.0;
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030;20210617;11.0;
Snow Inventory Agent;20210615;6.6;
Local Administrator Password Solution;20210615;6.2;
